respondent_id,age_group,gender,city_tier,occupation,monthly_income_band,monthly_income_inr,wardrobe_size_band,wardrobe_size_count,wardrobe_utilisation_pct,shopping_channels,purchase_frequency,monthly_clothing_spend_inr,annual_festive_spend_inr,festive_spend_band,style_types,ethnic_categories,saree_types,colour_palette,accessories,pain_occasions,daily_decision_minutes,purchase_drivers,weather_importance_score,prior_app_usage,privacy_comfort,preferred_features,subscription_willingness,social_media_influence_score,ai_trust_score,discovery_channels,fashion_identity,wardrobe_emotion,repeat_outfit_anxiety,sustainability_stance,return_regret_rate,trust_nano_influencer,trust_celebrity,trust_friend_family,trust_ai_recommendation,trust_brand_stylist,wardrobe_gap_score,impulse_buyer_flag,spend_power_index,engagement_likelihood_score,persona_archetype,outlier_flag,q25_platform_interest,target_interested
R0280,35-44,Woman,Tier 1,Salaried private,40001-75000,57500,20-40,30,60,In-store mall/high street|Myntra/Ajio/Nykaa Fashion,Seasonally,5139,27500,15001-40000,Boho/eclectic,Kurta/kurti|None,I dont own sarees,Earth tones|Neutrals,Jhumkas/traditional jewellery|Handbag/tote|Western jewellery/minimalist|Watch/smartwatch,Travel/vacation,22,Brand name|Occasion need,4,Yes tried once or twice,Completely comfortable,Wardrobe gap analysis|Occasion outfit planner|Weather-based dressing,0 free only,1,2,Friends and family,Dress for the occasion,Confident - wardrobe works,Advocate outfit repeating,Neutral - consider sometimes,Almost never - buy intentionally,4,3,4,2,5,1.2,0,28.8,32,Functional Minimalist,None,Definitely not interested,Not Interested
R0281,35-44,Man,Metro,Salaried private,Above 150000,200000,More than 100,120,40,Myntra/Ajio/Nykaa Fashion|Subscription box|In-store mall/high street,Seasonally,4692,10000,5001-15000,Minimalist/monochrome|Indo-western fusion,Dhoti/lungi,I dont own sarees,Earth tones|Neutrals,Handbag/tote|Dupatta/stole|Western jewellery/minimalist|Heels/formal footwear,Date night/parties|Weddings/festive|Daily office/college,33,Price/discount|Comfort and fabric quality,3,No but aware,Completely comfortable,Weather-based dressing|Wardrobe gap analysis,500-999,2,3,Bollywood/OTT celebrities|Friends and family,Clothing is purely functional,Overwhelmed - too many choices,Neutral - depends,,Often 1 in 2,3,3,3,3,4,7.2,1,52.9,55,Functional Minimalist,None,"Might use, depends on features",Interested
R0282,25-34,Man,Metro,Student,75001-150000,112500,More than 100,120,30,Instagram/social commerce|In-store mall/high street,Once a month,9881,10000,5001-15000,Western formal,Kurta/kurti|Saree,,Neutrals|Bright/vibrant|Jewel tones,Heels/formal footwear|Dupatta/stole|Sneakers/casual shoes|Watch/smartwatch,Date night/parties|Casual outings/weekend|Formal meetings/interviews,43,Price/discount|Trend/social media,3,Yes regularly,Neutral/unsure,Daily outfit suggestions|Smart shopping,500-999,3,1,YouTube fashion vlogs,Clothing is self-expression,Excited - love outfits,Very concerned - avoid it,Very important - actively buy sustainable,Often 1 in 2,2,2,3,1,4,8.4,1,47.5,54,Urban Trendsetter,None,Likely to try it out,Interested
R0283,35-44,Woman,Tier 1,Salaried govt/PSU,20001-40000,30000,41-70,55,60,In-store mall/high street|Instagram/social commerce,Once a month,1984,27500,15001-40000,Traditional ethnic|Casual/everyday basics|Indo-western fusion,Lehenga|Salwar kameez/churidar,I dont own sarees,Jewel tones|Printed/mixed patterns|Earth tones,Heels/formal footwear|Jhumkas/traditional jewellery|Cap/hair accessories,Casual outings/weekend,14,Comfort and fabric quality|Sustainability/ethical brand,3,No but aware,Neutral/unsure,Occasion outfit planner|Wardrobe gap analysis|Smart shopping,1-99,1,1,Bollywood/OTT celebrities|Friends and family,Clothing is self-expression,Guilty - know I overbuy,Somewhat concerned - mix it up,Neutral - consider sometimes,Almost never - buy intentionally,4,4,4,1,4,2.2,0,15.9,18,Ethnic Traditionalist,None,Likely to try it out,Interested
R0284,18-24,Woman,Metro,Self-employed/business,40001-75000,57500,41-70,55,45,Brand website,More than once a month,4222,70000,40001-100000,Casual/everyday basics|Traditional ethnic|Minimalist/monochrome,Salwar kameez/churidar|Kurta/kurti|Anarkali/palazzo,I dont own sarees,Pastels|Bright/vibrant|Jewel tones,Handbag/tote|Heels/formal footwear|Jhumkas/traditional jewellery|Dupatta/stole,Weddings/festive,13,Brand name|Price/discount|Trend/social media,2,Yes regularly,Completely comfortable,Occasion outfit planner|Daily outfit suggestions|Weather-based dressing,500-999,3,3,Bollywood/OTT celebrities,I follow trends,Overwhelmed - too many choices,Somewhat concerned - mix it up,Neutral - consider sometimes,Occasionally 1 in 5,5,2,4,3,3,3.0,0,34.8,78,Aspiring Premium,None,Likely to try it out,Interested
R0285,18-24,Woman,Tier 1,Salaried private,75001-150000,112500,More than 100,120,35,Brand website|Amazon/Flipkart,Seasonally,7109,1000,Below 2000,Boho/eclectic,Lehenga|Saree|None,Silk Banarasi/Kanjeevaram|Designer/embroidered,Neutrals|Monochrome|Earth tones,Sneakers/casual shoes|Watch/smartwatch|Cap/hair accessories|Heels/formal footwear,Date night/parties,5,Friend/family recommendation|Comfort and fabric quality,3,No not aware,Uncomfortable,Daily outfit suggestions|Occasion outfit planner|Weather-based dressing,100-249,2,3,Friends and family,Clothing is purely functional,Overwhelmed - too many choices,Very concerned - avoid it,Not a priority - price first,Occasionally 1 in 5,4,3,4,3,3,7.8,0,39.3,68,Functional Minimalist,None,Definitely not interested,Not Interested
R0286,18-24,Woman,Tier 1,Self-employed/business,,57500,41-70,55,50,Myntra/Ajio/Nykaa Fashion|Instagram/social commerce|Subscription box,Once a month,5113,10000,5001-15000,Streetwear/athleisure|Boho/eclectic|Indo-western fusion,Salwar kameez/churidar|Kurta/kurti|None,I dont own sarees,Neutrals|Printed/mixed patterns,Cap/hair accessories|Sneakers/casual shoes,Date night/parties|Casual outings/weekend|Weddings/festive,38,Trend/social media|Brand name|Occasion need,3,Yes tried once or twice,Completely comfortable,Daily outfit suggestions|Weather-based dressing,250-499,5,3,Instagram Reels/posts|Pinterest/mood boards,Dress for the occasion,Excited - love outfits,Not concerned - repeat freely,Neutral - consider sometimes,Sometimes 1 in 3,3,1,3,3,3,2.8,0,25.4,50,Urban Trendsetter,None,Unlikely - not for me,Not Interested
R0287,35-44,Man,Tier 1,Salaried private,,112500,20-40,30,75,Amazon/Flipkart,Once every 2-3 months,6416,1000,Below 2000,Minimalist/monochrome|Indo-western fusion|Streetwear/athleisure,Sherwani/bandgala|Lehenga|Salwar kameez/churidar,I dont own sarees,Earth tones|Neutrals|Bright/vibrant,Jhumkas/traditional jewellery|Watch/smartwatch|Cap/hair accessories,Daily office/college|Weddings/festive|Formal meetings/interviews,19,Trend/social media|Price/discount|Occasion need,4,Yes regularly,Comfortable with privacy controls,Daily outfit suggestions|Wardrobe gap analysis,100-249,2,3,App recommendations|Pinterest/mood boards,Clothing is purely functional,Indifferent - just clothes,Somewhat concerned - mix it up,Neutral - consider sometimes,Sometimes 1 in 3,3,1,4,3,3,0.8,0,37.7,58,Functional Minimalist,None,Likely to try it out,Interested
R0288,35-44,Man,Tier 2,Retired,40001-75000,57500,20-40,30,70,Amazon/Flipkart|In-store mall/high street|Myntra/Ajio/Nykaa Fashion,Once every 2-3 months,3922,1000,Below 2000,Minimalist/monochrome|Casual/everyday basics|Western formal,Kurta/kurti,I dont own sarees,Neutrals|Monochrome|Earth tones,Jhumkas/traditional jewellery|Handbag/tote,Formal meetings/interviews,21,Friend/family recommendation|Comfort and fabric quality|Price/discount,3,No but aware,Comfortable with privacy controls,Weather-based dressing|Daily outfit suggestions,0 free only,3,4,Friends and family|In-store browsing,Clothing is purely functional,Excited - love outfits,Neutral - depends,Very important - actively buy sustainable,Occasionally 1 in 5,2,3,4,4,1,0.9,0,20.8,57,Functional Minimalist,None,Likely to try it out,Interested
R0289,25-34,Woman,Metro,Salaried private,40001-75000,57500,41-70,55,50,Myntra/Ajio/Nykaa Fashion|In-store mall/high street,Once a month,2434,27500,15001-40000,Streetwear/athleisure|Western formal|Boho/eclectic,Salwar kameez/churidar|Kurta/kurti|Saree,Handloom/weave|Designer/embroidered,Earth tones|Jewel tones,Cap/hair accessories|Watch/smartwatch,Formal meetings/interviews,37,Friend/family recommendation|Trend/social media,2,No not aware,Comfortable with privacy controls,Daily outfit suggestions|Travel packing assistant,250-499,3,4,Bollywood/OTT celebrities|Instagram Reels/posts,Clothing is self-expression,Excited - love outfits,Somewhat concerned - mix it up,Never thought about this,Sometimes 1 in 3,4,4,4,4,3,2.8,0,22.5,66,Urban Trendsetter,None,Unlikely - not for me,Not Interested
R0290,35-44,Woman,Tier 1,Salaried private,75001-150000,112500,41-70,55,55,Myntra/Ajio/Nykaa Fashion|Amazon/Flipkart,Seasonally,9300,10000,5001-15000,Traditional ethnic|Streetwear/athleisure,None|Kurta/kurti|Anarkali/palazzo,,Earth tones|Jewel tones|Printed/mixed patterns,Western jewellery/minimalist|Dupatta/stole|Handbag/tote|Heels/formal footwear,Weddings/festive,14,Comfort and fabric quality|Friend/family recommendation,2,No but aware,Neutral/unsure,Occasion outfit planner|Daily outfit suggestions,1-99,2,2,YouTube fashion vlogs,Dress for the occasion,Frustrated - lots but stuck,Advocate outfit repeating,Important - but dont always follow through,Sometimes 1 in 3,2,3,4,2,4,2.5,0,46.1,43,Functional Minimalist,None,Definitely not interested,Not Interested
R0291,18-24,Woman,Metro,Self-employed/business,40001-75000,57500,More than 100,120,45,Subscription box|Myntra/Ajio/Nykaa Fashion|Instagram/social commerce,More than once a month,4499,27500,15001-40000,Western formal,Sherwani/bandgala,I dont own sarees,Bright/vibrant|Pastels,Handbag/tote|Dupatta/stole,Casual outings/weekend,42,Price/discount|Brand name|Trend/social media,4,Yes regularly,Completely comfortable,Smart shopping|Occasion outfit planner,1-99,5,2,In-store browsing|Instagram Reels/posts,Clothing is self-expression,Frustrated - lots but stuck,Not concerned - repeat freely,Important - but dont always follow through,Occasionally 1 in 5,3,,4,2,3,6.6,0,27.3,59,Urban Trendsetter,None,"Might use, depends on features",Interested
R0292,18-24,Woman,Tier 3,Salaried private,75001-150000,112500,Fewer than 20,12,85,Myntra/Ajio/Nykaa Fashion|In-store mall/high street|Amazon/Flipkart,More than once a month,8000,3500,2000-5000,Indo-western fusion|Streetwear/athleisure,Sherwani/bandgala,I dont own sarees,Neutrals,Western jewellery/minimalist|Handbag/tote|Dupatta/stole|Jhumkas/traditional jewellery,Formal meetings/interviews|Daily office/college|Travel/vacation,11,Occasion need|Comfort and fabric quality,5,Yes regularly,Will not share,Smart shopping|Weather-based dressing|Daily outfit suggestions,100-249,3,5,In-store browsing,Clothing is purely functional,Indifferent - just clothes,Not concerned - repeat freely,Neutral - consider sometimes,Almost never - buy intentionally,3,2,4,5,4,0.2,0,41.8,63,Functional Minimalist,None,Likely to try it out,Interested
R0293,35-44,Woman,Tier 2,Self-employed/business,40001-75000,57500,More than 100,120,20,In-store mall/high street,Seasonally,5800,70000,40001-100000,Western formal|Streetwear/athleisure|Indo-western fusion,None|Anarkali/palazzo,I dont own sarees,Neutrals,Jhumkas/traditional jewellery|Heels/formal footwear|Kolhapuris/juttis|Western jewellery/minimalist,Weddings/festive,30,Occasion need|Sustainability/ethical brand|Comfort and fabric quality,3,No but aware,Comfortable with privacy controls,Occasion outfit planner|Style DNA report|Wardrobe gap analysis,500-999,4,3,Instagram Reels/posts,Clothing is self-expression,Excited - love outfits,Neutral - depends,Important - but dont always follow through,Often 1 in 2,3,2,3,3,2,9.6,1,38.5,40,Urban Trendsetter,None,Likely to try it out,Interested
R0294,25-34,Man,Metro,Salaried private,75001-150000,112500,20-40,30,65,Instagram/social commerce|In-store mall/high street,Once every 2-3 months,2749,3500,2000-5000,Minimalist/monochrome|Streetwear/athleisure,None|Kurta/kurti|Salwar kameez/churidar,I dont own sarees,Neutrals|Jewel tones|Pastels,Cap/hair accessories|Sneakers/casual shoes|Jhumkas/traditional jewellery,Travel/vacation,11,Comfort and fabric quality|Occasion need,4,No but aware,Comfortable with privacy controls,Wardrobe gap analysis|Daily outfit suggestions|Occasion outfit planner,1-99,4,2,Pinterest/mood boards|Instagram Reels/posts,Clothing is purely functional,Indifferent - just clothes,Not concerned - repeat freely,Important - but dont always follow through,Almost never - buy intentionally,3,2,4,2,2,1.1,0,29.6,32,Functional Minimalist,None,Definitely not interested,Not Interested
R0295,35-44,Man,Tier 3,Salaried private,40001-75000,57500,More than 100,173,10,Amazon/Flipkart|Brand website,Once a month,4610,10000,5001-15000,Casual/everyday basics,Kurta/kurti|Sherwani/bandgala,I dont own sarees,Printed/mixed patterns,Dupatta/stole|Handbag/tote,Casual outings/weekend,45,Friend/family recommendation|Occasion need|Trend/social media,2,No not aware,Completely comfortable,Smart shopping|Daily outfit suggestions,1000+,2,1,In-store browsing,Clothing is self-expression,Excited - love outfits,Very concerned - avoid it,,Sometimes 1 in 3,4,2,4,1,3,10,0,24.2,36,Urban Trendsetter,Ghost Wardrobe,Unlikely - not for me,Not Interested
R0296,18-24,Woman,Metro,Freelancer/gig worker,Above 150000,200000,20-40,30,65,Instagram/social commerce|In-store mall/high street,Seasonally,1946,10000,5001-15000,Western formal,Kurta/kurti|Salwar kameez/churidar|Anarkali/palazzo,I dont own sarees,Bright/vibrant,Western jewellery/minimalist|Kolhapuris/juttis|Cap/hair accessories,Formal meetings/interviews|Date night/parties,0,Trend/social media|Sustainability/ethical brand|Brand name,4,Yes tried once or twice,Completely comfortable,Travel packing assistant|Daily outfit suggestions,500-999,4,3,Instagram Reels/posts,Dress for the occasion,Guilty - know I overbuy,Very concerned - avoid it,Important - but dont always follow through,Often 1 in 2,3,4,4,3,2,1.1,1,46.5,41,Urban Trendsetter,None,Definitely not interested,Not Interested
R0297,25-34,Woman,Tier 1,Salaried private,Above 150000,200000,71-100,85,50,Instagram/social commerce|Brand website|Local market,Seasonally,13109,70000,40001-100000,Maximalist/statement|Streetwear/athleisure|Casual/everyday basics,Salwar kameez/churidar|Saree,Handloom/weave|Cotton Tant/Chanderi,Bright/vibrant,Handbag/tote|Sneakers/casual shoes|Watch/smartwatch|Jhumkas/traditional jewellery,Weddings/festive,24,Price/discount|Trend/social media|Comfort and fabric quality,5,No not aware,Neutral/unsure,Occasion outfit planner|Travel packing assistant|Daily outfit suggestions,250-499,3,3,In-store browsing,Clothing is self-expression,Confident - wardrobe works,Somewhat concerned - mix it up,,Sometimes 1 in 3,2,2,3,3,3,4.2,0,84.0,48,Ethnic Traditionalist,None,Definitely not interested,Not Interested
R0298,25-34,Man,Tier 1,Student,Above 150000,200000,41-70,55,60,Local market|Myntra/Ajio/Nykaa Fashion|Amazon/Flipkart,Once a month,8525,10000,5001-15000,Maximalist/statement|Boho/eclectic|Indo-western fusion,Anarkali/palazzo|Salwar kameez/churidar|Kurta/kurti,I dont own sarees,Jewel tones,Sneakers/casual shoes|Watch/smartwatch|Heels/formal footwear|Cap/hair accessories,Date night/parties|Weddings/festive,11,Trend/social media|Brand name,4,Yes regularly,Neutral/unsure,Occasion outfit planner|Smart shopping|Daily outfit suggestions,100-249,4,2,Instagram Reels/posts|YouTube fashion vlogs,Clothing is self-expression,Frustrated - lots but stuck,Somewhat concerned - mix it up,Important - but dont always follow through,Often 1 in 2,4,3,4,2,3,2.2,1,61.8,82,Urban Trendsetter,None,Likely to try it out,Interested
R0299,18-24,Man,Tier 2,Self-employed/business,Below 20000,12000,20-40,30,70,In-store mall/high street|Subscription box|Amazon/Flipkart,Seasonally,1164,3500,2000-5000,Casual/everyday basics|Boho/eclectic,Kurta/kurti,I dont own sarees,Printed/mixed patterns|Neutrals,Cap/hair accessories|Dupatta/stole,Daily office/college|Casual outings/weekend|Travel/vacation,13,Brand name|Price/discount,2,No but aware,Comfortable with privacy controls,Travel packing assistant|Occasion outfit planner|Daily outfit suggestions,1-99,3,1,Pinterest/mood boards,Clothing is purely functional,Overwhelmed - too many choices,Neutral - depends,Important - but dont always follow through,Occasionally 1 in 5,3,3,4,1,4,0.9,0,5.8,37,Budget Conscious,None,Unlikely - not for me,Not Interested
R0300,25-34,Woman,Tier 2,Self-employed/business,Below 20000,12000,20-40,30,65,Amazon/Flipkart,Rarely,633,27500,15001-40000,Casual/everyday basics,Saree,Silk Banarasi/Kanjeevaram,Earth tones,Handbag/tote|Watch/smartwatch|Western jewellery/minimalist,Travel/vacation|Weddings/festive|Casual outings/weekend,27,Price/discount|Comfort and fabric quality|Friend/family recommendation,4,Yes tried once or twice,Neutral/unsure,Weather-based dressing|Wardrobe gap analysis,100-249,2,1,Bollywood/OTT celebrities|Instagram Reels/posts,Clothing is purely functional,Indifferent - just clothes,Somewhat concerned - mix it up,Very important - actively buy sustainable,Almost never - buy intentionally,3,4,3,1,4,1.1,0,9.2,24,Budget Conscious,None,Unlikely - not for me,Not Interested
R0301,25-34,Man,Tier 1,Student,Below 20000,12000,41-70,55,40,In-store mall/high street,More than once a month,811,10000,5001-15000,Traditional ethnic|Casual/everyday basics|Minimalist/monochrome,Lehenga,I dont own sarees,Bright/vibrant|Pastels,Handbag/tote|Watch/smartwatch|Sneakers/casual shoes|Dupatta/stole,Weddings/festive,5,Trend/social media|Comfort and fabric quality,5,Yes tried once or twice,Comfortable with privacy controls,Daily outfit suggestions|Weather-based dressing,,4,3,YouTube fashion vlogs|Bollywood/OTT celebrities,Dress for the occasion,Frustrated - lots but stuck,Not concerned - repeat freely,Very important - actively buy sustainable,Almost never - buy intentionally,3,4,4,3,3,3.3,0,6.2,50,Budget Conscious,None,Definitely not interested,Not Interested
R0302,25-34,Woman,Metro,Salaried private,40001-75000,57500,Fewer than 20,12,90,In-store mall/high street,Seasonally,2408,27500,15001-40000,Casual/everyday basics,Kurta/kurti|Anarkali/palazzo|None,,Neutrals|Earth tones|Jewel tones,Sneakers/casual shoes|Western jewellery/minimalist|Jhumkas/traditional jewellery,Daily office/college|Formal meetings/interviews|Casual outings/weekend,10,Comfort and fabric quality|Friend/family recommendation,3,No but aware,Comfortable with privacy controls,Daily outfit suggestions|Occasion outfit planner,100-249,2,3,Pinterest/mood boards,Clothing is purely functional,Indifferent - just clothes,Not concerned - repeat freely,Very important - actively buy sustainable,Occasionally 1 in 5,3,,4,3,4,0.1,0,22.4,27,Functional Minimalist,None,Definitely not interested,Not Interested
R0303,45-54,Man,Tier 1,Self-employed/business,Above 150000,200000,41-70,55,70,Subscription box,Once a month,18034,70000,40001-100000,Indo-western fusion|Casual/everyday basics,None,I dont own sarees,Monochrome|Jewel tones,Kolhapuris/juttis|Western jewellery/minimalist|Dupatta/stole,Weddings/festive|Date night/parties,21,Price/discount|Brand name|Trend/social media,2,Yes tried once or twice,Completely comfortable,Weather-based dressing|Wardrobe gap analysis,100-249,2,4,Bollywood/OTT celebrities,I follow trends,Overwhelmed - too many choices,Somewhat concerned - mix it up,Very important - actively buy sustainable,Occasionally 1 in 5,3,3,4,4,4,1.7,0,95.5,83,Aspiring Premium,None,Likely to try it out,Interested
R0304,25-34,Man,Metro,Salaried private,75001-150000,112500,71-100,85,40,Amazon/Flipkart|Myntra/Ajio/Nykaa Fashion,Once a month,8295,70000,40001-100000,Streetwear/athleisure|Indo-western fusion,Kurta/kurti|Saree,Printed/block print|Cotton Tant/Chanderi|Georgette/chiffon,Jewel tones|Earth tones|Printed/mixed patterns,Handbag/tote|Jhumkas/traditional jewellery|Heels/formal footwear,Formal meetings/interviews|Date night/parties|Daily office/college,26,Trend/social media|Brand name,5,Yes tried once or twice,Comfortable with privacy controls,Style DNA report|Occasion outfit planner,250-499,3,5,Bollywood/OTT celebrities,I follow trends,Confident - wardrobe works,Very concerned - avoid it,Very important - actively buy sustainable,Sometimes 1 in 3,2,1,4,5,3,5.1,0,55.3,61,Aspiring Premium,None,Definitely will use - I need this,Interested
R0305,35-44,Non-binary,Metro,Self-employed/business,75001-150000,112500,41-70,55,60,In-store mall/high street|Myntra/Ajio/Nykaa Fashion|Amazon/Flipkart,Once every 2-3 months,6055,10000,5001-15000,Casual/everyday basics,Saree|Kurta/kurti,,Earth tones|Printed/mixed patterns,Sneakers/casual shoes|Watch/smartwatch|Handbag/tote|Jhumkas/traditional jewellery,Casual outings/weekend|Weddings/festive,33,Price/discount|Comfort and fabric quality,3,No but aware,Comfortable with privacy controls,Travel packing assistant|Smart shopping|Daily outfit suggestions,0 free only,2,2,Instagram Reels/posts,I follow trends,Frustrated - lots but stuck,Somewhat concerned - mix it up,Not a priority - price first,Sometimes 1 in 3,3,5,5,2,2,2.2,0,38.6,58,Ethnic Traditionalist,None,Definitely will use - I need this,Interested
R0306,35-44,Woman,Tier 1,Freelancer/gig worker,20001-40000,30000,71-100,85,50,In-store mall/high street,Once a month,610,27500,15001-40000,Indo-western fusion|Casual/everyday basics,Kurta/kurti|Salwar kameez/churidar|Lehenga,I dont own sarees,Bright/vibrant|Jewel tones,Heels/formal footwear|Western jewellery/minimalist|Handbag/tote,Date night/parties|Travel/vacation,24,Comfort and fabric quality|Trend/social media|Brand name,4,Yes tried once or twice,Comfortable with privacy controls,Occasion outfit planner|Weather-based dressing,100-249,3,4,Dont seek inspiration|Bollywood/OTT celebrities,Dress to signal status,Guilty - know I overbuy,Somewhat concerned - mix it up,Neutral - consider sometimes,Sometimes 1 in 3,2,4,4,4,2,4.2,0,12.7,58,Aspiring Premium,None,Unlikely - not for me,Not Interested
R0307,18-24,Man,Metro,Self-employed/business,20001-40000,30000,Fewer than 20,12,85,Instagram/social commerce|In-store mall/high street|Local market,Once a month,2096,1000,Below 2000,Casual/everyday basics|Minimalist/monochrome,None|Kurta/kurti|Anarkali/palazzo,I dont own sarees,Neutrals|Earth tones,Watch/smartwatch|Handbag/tote|Sneakers/casual shoes,Weddings/festive|Date night/parties,3,Brand name|Occasion need,3,No but aware,Neutral/unsure,Wardrobe gap analysis|Smart shopping,,1,2,Bollywood/OTT celebrities|In-store browsing,I follow trends,Indifferent - just clothes,Neutral - depends,Important - but dont always follow through,Occasionally 1 in 5,,3,4,2,4,0.2,0,11.1,18,Functional Minimalist,None,Definitely will use - I need this,Interested
R0308,35-44,Woman,Tier 1,Salaried govt/PSU,40001-75000,57500,41-70,55,65,In-store mall/high street,Seasonally,3559,27500,15001-40000,Casual/everyday basics,Salwar kameez/churidar,I dont own sarees,Jewel tones|Printed/mixed patterns|Bright/vibrant,Heels/formal footwear|Watch/smartwatch|Handbag/tote|Sneakers/casual shoes,Weddings/festive|Daily office/college|Formal meetings/interviews,28,Brand name|Comfort and fabric quality,1,No but aware,Will not share,Weather-based dressing|Daily outfit suggestions,1-99,3,2,YouTube fashion vlogs,Clothing is purely functional,Indifferent - just clothes,Somewhat concerned - mix it up,Neutral - consider sometimes,Almost never - buy intentionally,3,4,4,2,2,1.9,0,25.1,26,Ethnic Traditionalist,None,Unlikely - not for me,Not Interested
R0309,25-34,Woman,Tier 2,Self-employed/business,75001-150000,112500,41-70,55,50,In-store mall/high street|Local market,Once every 2-3 months,8009,27500,15001-40000,Maximalist/statement|Traditional ethnic,Salwar kameez/churidar,I dont own sarees,Neutrals|Bright/vibrant,Handbag/tote|Cap/hair accessories|Sneakers/casual shoes,Weddings/festive,6,Price/discount|Trend/social media,5,No but aware,Comfortable with privacy controls,Occasion outfit planner|Weather-based dressing|Daily outfit suggestions,100-249,2,2,Bollywood/OTT celebrities,Clothing is purely functional,Excited - love outfits,Very concerned - avoid it,Not a priority - price first,Sometimes 1 in 3,4,,4,2,3,2.8,0,46.5,44,Ethnic Traditionalist,None,Definitely not interested,Not Interested
R0310,35-44,Man,Tier 3,Salaried private,75001-150000,112500,41-70,55,45,Myntra/Ajio/Nykaa Fashion|Amazon/Flipkart,Seasonally,9159,70000,40001-100000,Traditional ethnic,Salwar kameez/churidar|Kurta/kurti|Saree,Silk Banarasi/Kanjeevaram|Printed/block print|Designer/embroidered,Bright/vibrant|Neutrals,Dupatta/stole|Watch/smartwatch|Handbag/tote|Western jewellery/minimalist,Weddings/festive|Date night/parties,17,Comfort and fabric quality|Price/discount,5,No but aware,Neutral/unsure,Weather-based dressing|Occasion outfit planner|Wardrobe gap analysis,100-249,3,4,Friends and family,Dress for the occasion,Excited - love outfits,Somewhat concerned - mix it up,Important - but dont always follow through,Almost never - buy intentionally,2,1,4,4,4,3.0,0,57.3,67,Ethnic Traditionalist,None,Likely to try it out,Interested
R0311,35-44,Woman,Tier 3,Salaried private,20001-40000,30000,71-100,85,55,Myntra/Ajio/Nykaa Fashion,Once a month,2806,10000,5001-15000,Streetwear/athleisure|Western formal|Indo-western fusion,None|Kurta/kurti,,Bright/vibrant,Handbag/tote|Sneakers/casual shoes,Weddings/festive|Formal meetings/interviews,11,Trend/social media|Friend/family recommendation,3,Yes regularly,Neutral/unsure,Occasion outfit planner|Wardrobe gap analysis|Daily outfit suggestions,250-499,2,3,Instagram Reels/posts|Pinterest/mood boards,I follow trends,Excited - love outfits,Somewhat concerned - mix it up,Important - but dont always follow through,Sometimes 1 in 3,3,2,4,3,5,3.8,0,14.5,73,Aspiring Premium,None,Likely to try it out,Interested
R0312,18-24,Woman,Tier 2,Freelancer/gig worker,20001-40000,30000,41-70,55,55,Amazon/Flipkart|Myntra/Ajio/Nykaa Fashion|Local market,Once a month,2108,3500,2000-5000,Streetwear/athleisure|Indo-western fusion|Casual/everyday basics,Salwar kameez/churidar,I dont own sarees,Earth tones|Pastels|Printed/mixed patterns,Heels/formal footwear|Watch/smartwatch,Daily office/college,0,Price/discount|Trend/social media|Occasion need,3,No but aware,Neutral/unsure,Wardrobe gap analysis|Style DNA report,1-99,4,3,Friends and family,I follow trends,Overwhelmed - too many choices,Somewhat concerned - mix it up,Not a priority - price first,Sometimes 1 in 3,3,2,3,3,4,2.5,0,11.6,48,Budget Conscious,None,Unlikely - not for me,Not Interested
R0313,45-54,Woman,Metro,Self-employed/business,75001-150000,112500,20-40,30,65,Amazon/Flipkart|Local market,Once a month,8216,27500,15001-40000,Traditional ethnic|Maximalist/statement|Indo-western fusion,Dhoti/lungi|Salwar kameez/churidar|Lehenga,I dont own sarees,Bright/vibrant,Western jewellery/minimalist|Jhumkas/traditional jewellery|Kolhapuris/juttis|Sneakers/casual shoes,Weddings/festive,27,Occasion need|Comfort and fabric quality|Friend/family recommendation,4,No not aware,Will not share,Smart shopping|Daily outfit suggestions|Occasion outfit planner,1-99,3,3,Friends and family,Dress for the occasion,Confident - wardrobe works,Neutral - depends,Not a priority - price first,Occasionally 1 in 5,2,2,3,3,4,1.1,0,47.0,35,Ethnic Traditionalist,None,Unlikely - not for me,Not Interested
R0314,45-54,Woman,Metro,Salaried private,Above 150000,200000,41-70,55,50,Instagram/social commerce|Myntra/Ajio/Nykaa Fashion,Once a month,18772,3500,2000-5000,Indo-western fusion|Western formal,Salwar kameez/churidar|None,I dont own sarees,Neutrals|Bright/vibrant,Watch/smartwatch|Handbag/tote|Sneakers/casual shoes,Date night/parties,10,Trend/social media|Comfort and fabric quality,3,Yes regularly,Neutral/unsure,Daily outfit suggestions|Occasion outfit planner|Smart shopping,250-499,3,3,Bollywood/OTT celebrities,Dress for the occasion,Frustrated - lots but stuck,Not concerned - repeat freely,Important - but dont always follow through,Sometimes 1 in 3,4,2,4,3,4,2.8,0,84.5,71,Urban Trendsetter,None,Likely to try it out,Interested
